submittedSymbol	mappedGeneId	mappedSymbol
LRRK2	ENSG00000188906	LRRK2
PRMT5	ENSG00000100462	PRMT5
BRCA1	ENSG00000012048	BRCA1
BRCA2	ENSG00000139618	BRCA2
WEE1	ENSG00000166483	WEE1
RAD51	ENSG00000051180	RAD51
